Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221005 Hire of Venue (chairs, projector, etc)
221007 Books, Periodicals & Newspapers
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
223901 Rent – (Produced Assets) to other govt. units
224001 Medical Supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
225003 Taxes on (Professional) Services
226001 Insurances
227001 Travel inland
227002 Travel abroad
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
282101 Donations",19/20,94.78,90.47,ABPR%20FY%202019-20.pdf
13,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",19/20,84.22,80.35,ABPR%20FY%202019-20.pdf
13,Education,Programme 0701 Pre-Primary and Primary Education,19/20,36.18,31.42,ABPR%20FY%202019-20.pdf
13,Education,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",19/20,18.82,18.65,ABPR%20FY%202019-20.pdf
13,Education,Programme 0702 Secondary Education,19/20,11.57,7.68,ABPR%20FY%202019-20.pdf
13,Education,"03 Secondary Education
14 Private Schools Department
1540 Development of Secondary Education Phase II",19/20,4.38,4.63,ABPR%20FY%202019-20.pdf
13,Education,Programme 0704 Higher Education,19/20,62.71,56.36,ABPR%20FY%202019-20.pdf
13,Education,07 Higher Education,19/20,53.42,50.88,ABPR%20FY%202019-20.pdf
13,Education,"1241 Development of Uganda Petroleum Institute Kigumba
1273 Support to Higher Education, Science & Technology
1491 African Centers of Excellence II",19/20,5,1.23,ABPR%20FY%202019-20.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
212102 Pension for General Civil Service
212201 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
221020 IPPS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223901 Rent – (Produced Assets) to other govt. units
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils",19/20,116.07,113.41,ABPR%20FY%202019-20.pdf
13,Education,"Programme: 0701 Pre-Primary and Primary Education 48.04 48.93 42.08 101.9% 87.6% 86.0%
Development Projects.
1296 Uganda Teacher and School Effectiveness Project 48.04 48.93 42.08 101.9% 87.6% 86.0%",19/20,48.04,48.93,ABPR%20FY%202019-20.pdf
13,Education,"Programme: 0704 Higher Education 18.70 40.84 29.03 218.4% 155.3% 71.1%
Development Projects.
1273 Support to Higher Education, Science & Technology 0.00 33.53 12.92 3,352.9% 1,292.0% 38.5%
1491 African Centers of Excellence II 18.70 7.31 16.11 39.1% 86.2% 220.5%",19/20,18.7,40.84,ABPR%20FY%202019-20.pdf
13,Education,"Programme: 0706 Quality and Standards 16.30 41.41 37.65 254.1% 231.0% 90.9%
Development Projects.
1458 Improvement of Secondary Teachers Education- 16.30 41.41 37.65 254.1% 231.0% 90.9%
Kabale and Mubende NTCs",19/20,16.3,41.41,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,14.92,14.71,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,22.05,22.97,ABPR%20FY%202019-20.pdf
14,Health,"05 Faculty of Agriculture & Animal Sciences
06 Faculty of Science & Education
07 Faculty of Natural resources & Enviromental Sciences
08 Faculty of Health Sciences
09 Faculty of Engineering
10 Faculty of Management Sciences",19/20,3.4,3.52,ABPR%20FY%202019-20.pdf
13,Education,"05 Faculty of Agriculture & Animal Sciences
06 Faculty of Science & Education
07 Faculty of Natural resources & Enviromental Sciences
08 Faculty of Health Sciences
09 Faculty of Engineering
10 Faculty of Management Sciences",19/20,3.4,3.52,ABPR%20FY%202019-20.pdf
10,Agriculture,"05 Faculty of Agriculture & Animal Sciences
06 Faculty of Science & Education
07 Faculty of Natural resources & Enviromental Sciences
08 Faculty of Health Sciences
09 Faculty of Engineering
10 Faculty of Management Sciences",19/20,3.4,3.52,ABPR%20FY%202019-20.pdf
10,Agric,"05 Faculty of Agriculture & Animal Sciences
06 Faculty of Science & Education
07 Faculty of Natural resources & Enviromental Sciences
08 Faculty of Health Sciences
09 Faculty of Engineering
10 Faculty of Management Sciences",19/20,3.4,3.52,ABPR%20FY%202019-20.pdf
13,Education,0708 Education and Social Services,19/20,44.97,47.13,ABPR%20FY%202019-20.pdf
13,Education,Programme 0708 Education and Social Services,19/20,44.97,47.13,ABPR%20FY%202019-20.pdf
13,Education,11 Education and Social Services,19/20,42.3,44.81,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,12.1,11.09,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,5.19,5.19,ABPR%20FY%202019-20.pdf
14,Health,"04 Faculty of Techno Science
05 Research and Innovation Department
06 Faculty of Education
07 Faculty of Health Sciences
08 Faculty of Science
09 Agriculture and Environmental Science
10 Faculty of Management Science",19/20,1.2,1.2,ABPR%20FY%202019-20.pdf
13,Education,"04 Faculty of Techno Science
05 Research and Innovation Department
06 Faculty of Education
07 Faculty of Health Sciences
08 Faculty of Science
09 Agriculture and Environmental Science
10 Faculty of Management Science",19/20,1.2,1.2,ABPR%20FY%202019-20.pdf
10,Agriculture,"04 Faculty of Techno Science
05 Research and Innovation Department
06 Faculty of Education
07 Faculty of Health Sciences
08 Faculty of Science
09 Agriculture and Environmental Science
10 Faculty of Management Science",19/20,1.2,1.2,ABPR%20FY%202019-20.pdf
10,Agric,"04 Faculty of Techno Science
05 Research and Innovation Department
06 Faculty of Education
07 Faculty of Health Sciences
08 Faculty of Science
09 Agriculture and Environmental Science
10 Faculty of Management Science",19/20,1.2,1.2,ABPR%20FY%202019-20.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221005 Hire of Venue (chairs, projector, etc)
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical Supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
226002 Licenses
227001 Travel inland
227002 Travel abroad",19/20,12.98,14.45,ABPR%20FY%202019-20.pdf
13,Education,0752 Education Personnel Policy and Management,19/20,9.42,7.92,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0752 Education Personnel Policy and
Management",19/20,9.42,7.92,ABPR%20FY%202019-20.pdf
13,Education,1271 Support to Education Service Commission,19/20,0.19,0.15,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,286.61,293.27,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,29.5,30.25,ABPR%20FY%202019-20.pdf
14,Health,"02 College of Natural Sciences
03 College of Health Sciences
04 College of Business and Management Sciences
05 College of Computing and Information Sciences
06 College of Engineering, Design Art and Technology
07 College of Humanities and Social Sciences
08 College of Agricultural and Environmental Sciences
09 College of Education and External Studies
10 College of Veterinary Medicine, Animal resources and
Biosecurity
11 School of Law
12 Jinja Campus",19/20,1.82,3.02,ABPR%20FY%202019-20.pdf
13,Education,"02 College of Natural Sciences
03 College of Health Sciences
04 College of Business and Management Sciences
05 College of Computing and Information Sciences
06 College of Engineering, Design Art and Technology
07 College of Humanities and Social Sciences
08 College of Agricultural and Environmental Sciences
09 College of Education and External Studies
10 College of Veterinary Medicine, Animal resources and
Biosecurity
11 School of Law
12 Jinja Campus",19/20,1.82,3.02,ABPR%20FY%202019-20.pdf
10,Agric,"02 College of Natural Sciences
03 College of Health Sciences
04 College of Business and Management Sciences
05 College of Computing and Information Sciences
06 College of Engineering, Design Art and Technology
07 College of Humanities and Social Sciences
08 College of Agricultural and Environmental Sciences
09 College of Education and External Studies
10 College of Veterinary Medicine, Animal resources and
Biosecurity
11 School of Law
12 Jinja Campus",19/20,1.82,3.02,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,16.61,16.66,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,30.52,30.52,ABPR%20FY%202019-20.pdf
14,Health,"03 Faculty of Science
04 Faculty of Medicine
06 Faculty of Applied Sciences
07 Faculty of Computing and Informatics
08 Faculty of Business and management Sciences
09 Faculty of Interdisciplinary Studies
10 Institute of Maternal and New born Child Health
11 Directorate of Research and Graduate Training",19/20,5.52,5.52,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,75.15,77.15,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,1.54,1.54,ABPR%20FY%202019-20.pdf
13,Education,"14 Faculty of Computing and Informatics
15 Faculty of Management
16 Faculty of Marketing Leisure & Hosp Mgt
17 Faculty of Commerce
18 Faculty of Vocational Distance Education
19 Faculty of Graduate Studies & Research
20 Faculty of Entrepreneurship & Business Administration
21 Arua Campus
22 Mbarara Campus
23 Mbale Campus
24 Jinja Campus
25 Faculty of Energy Economics & Mgt",19/20,0.18,0.18,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,79.61,81.03,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,52.69,52.57,ABPR%20FY%202019-20.pdf
13,Education,"03 Faculty of Arts & Social Sciences
04 Faculty of Science
05 School of Management & Entrepreneurship
06 Faculty of Engineering
07 Faculty of Education
08 Faculty of Vocational Studies
09 Faculty of Special Needs and Rehabilitation
10 Graduate School
11 Affiliations & Extensions
12 ODEL (Distance e-learning)
13 DEPE (Distance Education, Primary External)",19/20,7.85,7.83,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,29.09,11.05,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,4.2,1.9,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,24.78,21.92,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,23.67,23.67,ABPR%20FY%202019-20.pdf
13,Education,"07 Research and Graduate Studies
08 Faculty of Education and Humanities
09 Faculty of Agriculture and Environment
10 Faculty of Business and Development Studies
11 Faculty of Sciences
12 Faculty of Medicine
13 Faculty of Laws
14 Institute of Peace and Strategic Studies",19/20,0.73,0.73,ABPR%20FY%202019-20.pdf
10,Agriculture,"07 Research and Graduate Studies
08 Faculty of Education and Humanities
09 Faculty of Agriculture and Environment
10 Faculty of Business and Development Studies
11 Faculty of Sciences
12 Faculty of Medicine
13 Faculty of Laws
14 Institute of Peace and Strategic Studies",19/20,0.73,0.73,ABPR%20FY%202019-20.pdf
10,Agric,"07 Research and Graduate Studies
08 Faculty of Education and Humanities
09 Faculty of Agriculture and Environment
10 Faculty of Business and Development Studies
11 Faculty of Sciences
12 Faculty of Medicine
13 Faculty of Laws
14 Institute of Peace and Strategic Studies",19/20,0.73,0.73,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,12.6,13.96,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,6.3,6.47,ABPR%20FY%202019-20.pdf
14,Health,"06 Faculty of Health Science
07 Faculty of Management Sciences Programme
10 Faculty of Education",19/20,4.33,4.5,ABPR%20FY%202019-20.pdf
13,Education,"06 Faculty of Health Science
07 Faculty of Management Sciences Programme
10 Faculty of Education",19/20,4.33,4.5,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",19/20,31.53,31.41,ABPR%20FY%202019-20.pdf
13,Education,"Programme 0714 Delivery of Tertiary Education
Programme",19/20,0.82,0.82,ABPR%20FY%202019-20.pdf
13,Education,"08 Faculty of Education
09 Faculty of Science
10 Faculty of Arts and Social Sciences
11 Faculty of Computing, Library and Information Science
12 Faculty of Engineering, Technology, Applied Design &
Fine Art
13 School of Medicine
14 Institute of Language Studies",19/20,0.03,0.03,ABPR%20FY%202019-20.pdf
